2019-10-23 21:49:01.273895 [guppy/message] ONT Guppy barcoding software version 3.1.5+781ed57
input path:         ZF_RNAseq2/20191016_1725_MN29188_FAL00250_8ddf8bfb/fastq_pass/
save path:          demux
arrangement files:  barcode_arrs_pcr12.cfg 
min. score front:   60
min. score rear:    60

2019-10-23 21:49:01.275343 [guppy/message] Found 18 fastq files.
2019-10-23 21:49:05.974459 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -13 Sequence length: 90

2019-10-23 21:49:05.997426 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -9 Sequence length: 92

2019-10-23 21:49:05.998568 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -19 Sequence length: 83

2019-10-23 21:49:06.005468 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -20 Sequence length: 78

2019-10-23 21:49:06.029411 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -31 Sequence length: 70

2019-10-23 21:49:06.050053 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -17 Sequence length: 83

2019-10-23 21:49:06.073113 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -21 Sequence length: 79

2019-10-23 21:49:06.073681 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -34 Sequence length: 67

2019-10-23 21:49:06.088567 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 98

2019-10-23 21:49:06.112281 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 97

2019-10-23 21:49:06.143945 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -22 Sequence length: 82

2019-10-23 21:49:06.205649 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -37 Sequence length: 66

2019-10-23 21:49:06.220609 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -14 Sequence length: 86

2019-10-23 21:49:06.248476 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -29 Sequence length: 69

2019-10-23 21:49:06.283741 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 99

2019-10-23 21:49:06.287089 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -34 Sequence length: 67

2019-10-23 21:49:06.297935 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -18 Sequence length: 82

2019-10-23 21:49:06.303647 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -16 Sequence length: 86

2019-10-23 21:49:06.339851 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 99

2019-10-23 21:49:06.359521 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -19 Sequence length: 82

2019-10-23 21:49:06.391946 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -8 Sequence length: 93

2019-10-23 21:49:06.392694 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 98

2019-10-23 21:49:06.392904 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -36 Sequence length: 65

2019-10-23 21:49:06.394195 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -10 Sequence length: 90

2019-10-23 21:49:06.412600 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -15 Sequence length: 89

2019-10-23 21:49:06.480143 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -13 Sequence length: 92

2019-10-23 21:49:06.500935 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -16 Sequence length: 85

2019-10-23 21:49:06.502062 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -12 Sequence length: 90

2019-10-23 21:49:06.504235 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -4 Sequence length: 97

2019-10-23 21:49:06.557198 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -4 Sequence length: 99

2019-10-23 21:49:06.566201 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -10 Sequence length: 94

2019-10-23 21:49:06.566396 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -19 Sequence length: 81

2019-10-23 21:49:06.580210 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 98

2019-10-23 21:49:06.593737 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 102

2019-10-23 21:49:06.650392 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -4 Sequence length: 99

2019-10-23 21:49:06.723966 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 99

2019-10-23 21:49:06.725136 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -46 Sequence length: 56

2019-10-23 21:49:06.727772 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 102

2019-10-23 21:49:06.737631 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -30 Sequence length: 72

2019-10-23 21:49:06.767449 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -26 Sequence length: 77

2019-10-23 21:49:06.794360 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -33 Sequence length: 70

2019-10-23 21:49:06.797403 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 98

2019-10-23 21:49:06.804946 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -1 Sequence length: 100

2019-10-23 21:49:06.815704 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -4 Sequence length: 96

2019-10-23 21:49:06.830742 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -2 Sequence length: 100

2019-10-23 21:49:06.897201 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -9 Sequence length: 94

2019-10-23 21:49:06.911324 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -21 Sequence length: 84

2019-10-23 21:49:06.951136 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -47 Sequence length: 56

2019-10-23 21:49:07.001886 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -6 Sequence length: 95

2019-10-23 21:49:07.003375 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -21 Sequence length: 80

2019-10-23 21:49:07.104263 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -6 Sequence length: 96

2019-10-23 21:49:07.130143 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -8 Sequence length: 94

2019-10-23 21:49:07.138515 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -26 Sequence length: 76

2019-10-23 21:49:07.138975 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -19 Sequence length: 81

2019-10-23 21:49:07.141532 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -14 Sequence length: 87

2019-10-23 21:49:07.141833 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -6 Sequence length: 95

2019-10-23 21:49:07.152605 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -3 Sequence length: 104

2019-10-23 21:49:07.183079 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -9 Sequence length: 92

2019-10-23 21:49:07.198645 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -27 Sequence length: 77

2019-10-23 21:49:07.211842 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -43 Sequence length: 59

2019-10-23 21:49:07.216509 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -5 Sequence length: 97

2019-10-23 21:49:07.223519 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -6 Sequence length: 96

2019-10-23 21:49:07.225990 [guppy/warning] Cannot trim a negative number, so will trim 0, Trim length: -7 Sequence length: 93

