Parent_id	ZF-B-1_1-Run1.sam	ZF-B-1_1-Run2.sam	ZF-B-2_2-Run1.sam	ZF-B-2_2-Run2.sam	ZF-B-3_3-Run1.sam	ZF-B-3_3-Run2.sam	ZF-I-1_1-Run1.sam	ZF-I-1_1-Run2.sam	ZF-I-2_2-Run1.sam	ZF-I-2_2-Run2.sam	ZF-I-3_3-Run1.sam	ZF-I-3_3-Run2.sam
transcript:ENSDART00000003345	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003346	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003418	0	0	1	1	0	0	0	0	0	0	0	0
transcript:ENSDART00000003420	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003422	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003428	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003435	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003463	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003465	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003475	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003482	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003494	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003497	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003503	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003508	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003514	0	0	0	0	0	1	0	0	0	0	0	0
transcript:ENSDART00000003517	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003518	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003544	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003550	0	1	0	0	1	0	0	0	0	0	0	0
transcript:ENSDART00000003583	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003621	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003634	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003646	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003648	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003665	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003670	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003674	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003690	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003694	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003701	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003706	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003712	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003715	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003716	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003736	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003745	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003748	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003752	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003789	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003790	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003805	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003825	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003834	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003839	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003845	0	0	0	0	0	0	1	0	3	2	0	0
transcript:ENSDART00000003847	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003879	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003884	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003888	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003891	0	0	0	0	0	0	0	0	0	0	0	0
